DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
16-Jul-19,BONGO FURY,4,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,CRUST,BRBLKCRST,9
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,CRUST,BRBLKCRST,8
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,FRUIT,CLADSQ,2
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,FRUIT,CLADSTLK,1
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,POWDER,WHPDR,5
16-Jul-19,BONGO FURY,4,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,POWDER,WHPDR,5
16-Jul-19,BONGO FURY,4,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,100,5,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,4,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,5,L,UMB,TOADSK,9
16-Jul-19,BONGO FURY,5,FACE,UNCLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,8,L,CRUST,BRBLKBDR,9
16-Jul-19,BONGO FURY,5,FACE,CLIMBED,HB,ADVANCED,5.12-,2.5,S,15,N,310,0.64,-0.77,95,8,L,CRUST,BRBLKCRST,9
